,zip_code,latitude,longitude,city,state,county,longlat,year,disease,population,obs_rate,exp_rate
1,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Diabetes Short-term Complications,694,0,33.09
2,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Gastroenteritis,995,0,120.3
3,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Gastroenteritis,1051,285.44,125.13
4,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Urinary Tract Infection,995,301.51,59.27
5,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Urinary Tract Infection,1051,0,50.09
6,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Pediatric Quality Overall Composite,638,470.22,338.01
7,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Asthma,875,0,333.84
8,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Asthma,909,550.06,343.58
9,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Diabetes Short-term Complications,638,0,34.08
10,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Pediatric Quality Acute Composite,638,470.22,79.06
11,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Pediatric Quality Acute Composite,694,288.18,81.56
12,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2011,Pediatric Quality Chronic Composite,638,0,258.96
13,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Pediatric Quality Overall Composite,694,864.55,345.87
14,10001,40.750422,-73.996328,New York,NY,New York,40.750422:-73.996328,2012,Pediatric Quality Chronic Composite,694,576.37,264.31
15,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2011,Diabetes Short-term Complications,8728,34.37,22.87
16,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2012,Diabetes Short-term Complications,8333,12,19.62
17,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2011,Gastroenteritis,14280,35.01,99.77
18,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2011,Urinary Tract Infection,14280,7,44.3
19,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2012,Urinary Tract Infection,13591,0,39.55
20,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2011,Pediatric Quality Overall Composite,8728,68.74,227.19
21,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2012,Gastroenteritis,13591,36.79,112.42
22,10002,40.718758,-73.986427,New York,NY,New York,40.718758:-73.986427,2011,Asthma,12337,81.06,217.13
